,Make,Model,Year,FuelType,EngineHP,EngineCylinders,Transmission,Drive,NumberOfDoors,MarketCategory,Size,Style,highwaympg,citympg,Popularity,MSRP
262,Ford,Fusion,2016,regular unleaded,231,4,AUTOMATIC,all wheel drive,4,Performance,Midsize,Sedan,31,22,5657,33270
263,Lexus,IS 250 C,2015,premium unleaded (required),204,6,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Convertible,30,21,454,43360
264,Pontiac,G8,2008,regular unleaded,256,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,25,17,210,26910
265,Nissan,NX,1992,regular unleaded,140,4,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,28,20,2009,2000
266,Cadillac,SRX,2015,regular unleaded,308,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,17,1624,46030
267,Land Rover,Range Rover Evoque,2016,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,30,21,258,50475
268,Cadillac,SRX,2015,regular unleaded,308,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,16,1624,51730
270,Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14720
274,Mercedes-Benz,CL-Class,2014,premium unleaded (required),429,8,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Large,Coupe,24,15,617,116600
276,Mercedes-Benz,GL-Class,2016,diesel,240,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Diesel",Large,4dr SUV,26,19,617,63600
277,Cadillac,ATS Coupe,2015,premium unleaded (recommended),272,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,29,20,1624,48205
278,Lincoln,MKC,2017,regular unleaded,240,4,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,28,21,61,45475
279,Hyundai,Excel,1993,regular unleaded,81,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,30,25,1439,2000
280,Audi,R8,2014,premium unleaded (required),525,10,AUTOMATED_MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,22,13,3105,160300
281,Volkswagen,GTI,2012,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,25095
282,Saab,3-Sep,2010,premium unleaded (recommended),207,4,MANUAL,front wheel drive,2,Luxury,Compact,Convertible,29,20,376,39990
285,Maserati,Quattroporte,2015,premium unleaded (required),523,8,AUTOMATIC,rear wheel drive,4,"Exotic,Factory Tuner,Luxury,High-Performance",Large,Sedan,22,13,238,140500
288,Acura,Legend,1993,regular unleaded,230,6,MANUAL,front wheel drive,2,"Luxury,Performance",Midsize,Coupe,23,15,204,2000
291,Kia,Sorento,2017,regular unleaded,290,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,25,18,1720,33100
293,Aston Martin,DBS,2011,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Midsize,Convertible,18,12,259,286739
295,Kia,Optima Hybrid,2015,regular unleaded,199,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,40,36,1720,25990
298,Volvo,740,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,24,18,870,2000
299,GMC,Terrain,2017,regular unleaded,182,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,31,21,549,24070
300,Toyota,Tundra,2015,flex-fuel (unleaded/E85),381,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,17,13,2031,35040
302,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Compact,Crew Cab Pickup,20,15,1851,26325
303,Audi,S3,2016,premium unleaded (required),292,4,AUTOMATED_MANUAL,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Compact,Sedan,31,23,3105,48650
304,Lincoln,MKX,2017,regular unleaded,303,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,16,61,48055
305,Mercedes-Benz,GLE-Class Coupe,2017,premium unleaded (required),362,6,AUTOMATIC,all wheel drive,4,"Crossover,Factory Tuner,Luxury,Performance",Midsize,4dr SUV,23,17,617,69650
307,Nissan,Armada,2014,regular unleaded,317,8,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,4dr SUV,19,13,2009,37590
308,Cadillac,Allante,1993,regular unleaded,295,8,AUTOMATIC,front wheel drive,2,"Luxury,Performance",Compact,Convertible,20,13,1624,2358
309,Chevrolet,Silverado 1500 Classic,2007,flex-fuel (unleaded/E85),295,8,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,19,14,1385,30465
310,Cadillac,Escalade ESV,2017,premium unleaded (recommended),420,8,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,4dr SUV,22,15,1624,81395
312,Subaru,XV Crosstrek,2015,regular unleaded,148,4,MANUAL,all wheel drive,4,Crossover,Compact,4dr SUV,31,23,640,21595
313,Cadillac,CT6,2017,premium unleaded (required),404,6,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,26,18,1624,87495
315,Chevrolet,Silverado 1500,2016,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,22,17,1385,38890
318,BMW,5 Series,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Luxury,Large,Sedan,33,22,3916,52250
319,BMW,6 Series,2017,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,24,17,3916,96500
321,Toyota,Tundra,2017,flex-fuel (unleaded/E85),381,8,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,18,13,2031,46980
322,Nissan,Altima,2015,regular unleaded,270,6,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,32,22,2009,26450
323,BMW,2 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,34,22,3916,32850
325,Infiniti,M35,2010,premium unleaded (recommended),303,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,25,17,190,45800
326,GMC,Acadia,2015,regular unleaded,281,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,549,42095
329,Subaru,WRX,2015,premium unleaded (recommended),268,4,AUTOMATIC,all wheel drive,4,Performance,Compact,Sedan,25,19,640,29695
331,Lincoln,Town Car,2011,flex-fuel (unleaded/E85),239,8,AUTOMATIC,rear wheel drive,4,"Flex Fuel,Luxury",Large,Sedan,24,16,61,47000
332,Mitsubishi,Eclipse,2010,premium unleaded (recommended),265,6,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,25,16,436,28089
334,Toyota,Prius,2016,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,28100
336,Honda,Element,2009,regular unleaded,166,4,MANUAL,all wheel drive,4,Crossover,Compact,4dr SUV,23,18,2202,22785
338,Honda,Pilot,2017,regular unleaded,280,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,20,2202,41670
339,Nissan,300ZX,1995,regular unleaded,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,17,2009,2702
340,Ford,Escape,2015,premium unleaded (recommended),178,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,32,23,5657,25650
343,Ford,Taurus,2016,flex-fuel (unleaded/E85),288,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Large,Sedan,24,17,5657,36310
345,Chevrolet,Silverado 1500,2016,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,24,18,1385,29510
346,BMW,M,2006,premium unleaded (required),330,6,MANUAL,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,22,14,3916,49300
347,Audi,90,1994,regular unleaded,172,6,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,22,17,3105,2000
348,Volkswagen,Jetta,2015,premium unleaded (recommended),210,4,AUTOMATIC,front wheel drive,4,"Factory Tuner,Performance",Midsize,Sedan,32,24,873,30380
349,Lincoln,MKX,2017,regular unleaded,303,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,16,61,44045
350,Volvo,960,1997,regular unleaded,181,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,24,16,870,2000
352,Chrysler,Crossfire,2007,premium unleaded (required),215,6,MANUAL,rear wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,23,15,1013,29510
353,Subaru,Outback,2017,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,32,25,640,35995
354,Land Rover,Freelander,2003,regular unleaded,174,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,19,15,258,31575
355,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,19,204,37070
359,GMC,Sierra 1500 Classic,2007,regular unleaded,195,6,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,17,14,549,20960
361,Maserati,GranTurismo Convertible,2015,premium unleaded (required),454,8,AUTOMATIC,rear wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Midsize,Convertible,20,13,238,182009
362,Lexus,RX 450h,2015,premium unleaded (required),295,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Hybrid",Midsize,4dr SUV,28,30,454,49020
364,Volkswagen,New Beetle,2009,regular unleaded,150,5,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,29,20,873,19390
365,Infiniti,Q60 Coupe,2015,premium unleaded (recommended),330,6,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Coupe,27,19,190,49650
370,Audi,allroad,2015,premium unleaded (recommended),220,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,28,21,3105,49800
372,Volkswagen,GTI,2013,premium unleaded (recommended),200,4,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,31,21,873,24200
373,Nissan,Rogue,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,33,26,2009,23040
374,Infiniti,G Coupe,2011,premium unleaded (recommended),330,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,27,19,190,37150
375,Ford,F-150,2016,flex-fuel (unleaded/E85),282,6,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,23,17,5657,35330
376,Suzuki,Grand Vitara,2011,regular unleaded,166,4,MANUAL,rear wheel drive,4,Crossover,Compact,4dr SUV,26,19,481,19299
377,GMC,Yukon,2016,premium unleaded (recommended),420,8,AUTOMATIC,four wheel drive,4,Performance,Large,4dr SUV,21,15,549,68325
378,Volvo,C30,2011,premium unleaded (recommended),227,5,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,29,21,870,27100
380,Honda,Civic del Sol,1997,regular unleaded,160,4,MANUAL,front wheel drive,2,"Factory Tuner,Performance",Compact,Coupe,27,23,2202,2410
381,Toyota,Supra,1996,regular unleaded,320,6,AUTOMATIC,rear wheel drive,2,Performance,Compact,Coupe,22,16,2031,18255
382,Nissan,Murano,2016,regular unleaded,260,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,21,2009,38730
384,Kia,Forte,2016,regular unleaded,201,4,AUTOMATIC,front wheel drive,2,Performance,Compact,Coupe,30,22,1720,21690
386,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Compact,Extended Cab Pickup,18,14,1851,29985
387,Toyota,Yaris,2017,regular unleaded,106,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,35,30,2031,16910
388,Mercedes-Benz,ML55 AMG,2000,regular unleaded,342,8,AUTOMATIC,all wheel drive,4,"Factory Tuner,Luxury,Performance",Midsize,4dr SUV,16,12,617,5650
389,Mercedes-Benz,E-Class,2017,premium unleaded (required),329,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Convertible,29,20,617,62600
391,Mercedes-Benz,E-Class,2017,premium unleaded (required),329,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,28,20,617,57050
393,Acura,TSX,2014,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,31,22,204,30635
394,Cadillac,Allante,1992,regular unleaded,200,8,AUTOMATIC,front wheel drive,2,"Luxury,Performance",Compact,Convertible,20,14,1624,2234
395,Lamborghini,Aventador,2015,premium unleaded (required),720,12,AUTOMATED_MANUAL,all wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,16,10,1158,548800
396,Volvo,S60,2016,regular unleaded,250,5,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,29,20,870,35650
397,Lincoln,MKC,2015,regular unleaded,240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,26,19,61,35595
398,Hyundai,Tucson,2016,regular unleaded,175,4,AUTOMATED_MANUAL,all wheel drive,4,Crossover,Compact,4dr SUV,31,25,1439,25550
399,Ford,Explorer Sport Trac,2009,regular unleaded,292,8,AUTOMATIC,four wheel drive,4,Crossover,Compact,Crew Cab Pickup,19,14,5657,33670
400,Subaru,Forester,2017,regular unleaded,170,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,32,26,640,25995
401,Volkswagen,GTI,2012,premium unleaded (recommended),200,4,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,31,21,873,23995
402,Volkswagen,New Beetle,2009,regular unleaded,150,5,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,29,20,873,19390
403,BMW,1 Series,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,28,19,3916,31500
404,Mercedes-Benz,C-Class,2017,premium unleaded (required),241,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,34,24,617,41675
405,Ford,Transit Wagon,2017,regular unleaded,275,6,AUTOMATIC,rear wheel drive,3,Diesel,Midsize,Passenger Van,19,14,5657,38165
406,Audi,allroad quattro,2004,regular unleaded,250,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Performance",Midsize,Wagon,20,15,3105,39950
407,Cadillac,ATS Coupe,2017,premium unleaded (recommended),272,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,30,22,1624,43395
408,Acura,TLX,2017,premium unleaded (recommended),206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,35,24,204,35950
409,Land Rover,Range Rover Evoque,2017,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,29,21,258,51000
410,Hyundai,Accent,2015,regular unleaded,137,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,27,1439,14995
412,Volkswagen,Rabbit,2008,regular unleaded,170,5,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,29,21,873,16675
415,Pontiac,G6,2009,regular unleaded,252,6,AUTOMATIC,front wheel drive,2,Performance,Midsize,Coupe,26,17,210,28960
419,Chevrolet,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,38625
421,Buick,Lucerne,2009,flex-fuel (unleaded/E85),227,6,AUTOMATIC,front wheel drive,4,Flex Fuel,Large,Sedan,26,17,155,35770
423,Ford,Transit Wagon,2016,flex-fuel (unleaded/E85),275,6,AUTOMATIC,rear wheel drive,3,"Flex Fuel,Diesel",Large,Passenger Van,19,14,5657,41030
424,Ford,E-Series Wagon,2014,flex-fuel (unleaded/E85),255,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,15,11,5657,36020
425,Saab,9-4X,2011,premium unleaded (required),265,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,25,18,376,33380
426,Acura,Integra,2000,regular unleaded,140,4,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,28,22,204,3222
427,Cadillac,CTS Coupe,2014,regular unleaded,318,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,27,18,1624,49995
428,Cadillac,Escalade ESV,2015,flex-fuel (unleaded/E85),420,8,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury,Performance",Large,4dr SUV,20,14,1624,82570
429,Hyundai,Azera,2015,regular unleaded,293,6,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,29,20,1439,34000
430,Kia,Sorento,2017,regular unleaded,240,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,25,19,1720,33300
431,Honda,CR-Z,2015,regular unleaded,130,4,AUTOMATIC,front wheel drive,2,"Hatchback,Hybrid",Compact,2dr Hatchback,39,36,2202,20795
434,Chevrolet,Silverado 1500,2015,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,24,18,1385,28545
435,Chevrolet,Malibu Maxx,2006,regular unleaded,201,6,AUTOMATIC,front wheel drive,4,Hatchback,Midsize,4dr Hatchback,28,20,1385,23465
436,Mercedes-Benz,S-Class,2016,premium unleaded (required),577,8,AUTOMATIC,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,23,15,617,143250
438,Volkswagen,Golf GTI,2016,premium unleaded (recommended),210,4,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,34,25,873,28025
440,Volkswagen,Beetle Convertible,2016,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,2,Performance,Compact,Convertible,31,23,873,32670
441,Subaru,B9 Tribeca,2007,premium unleaded (required),245,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,21,16,640,37295
442,Land Rover,Range Rover Evoque,2015,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,30,21,258,48900
443,BMW,ALPINA B7,2015,premium unleaded (required),540,8,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,25,16,3916,132200
444,Chevrolet,Captiva Sport,2013,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,24155
447,Nissan,Juke,2017,premium unleaded (recommended),188,4,AUTOMATIC,front wheel drive,4,"Crossover,Hatchback",Compact,4dr Hatchback,32,28,2009,22550
448,Honda,Civic,2017,regular unleaded,174,4,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,42,32,2202,24800
449,Ferrari,458 Italia,2014,premium unleaded (required),562,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,17,13,2774,233509
450,Honda,Element,2009,regular unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,25,20,2202,24085
451,Land Rover,Range Rover,2016,diesel,254,6,AUTOMATIC,four wheel drive,4,"Diesel,Luxury",Large,4dr SUV,29,22,258,93450
453,Buick,Encore,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,29435
454,BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450
455,Toyota,Celica,2005,regular unleaded,140,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,30,23,2031,17670
456,Chevrolet,Spark EV,2014,electric,140,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,109,128,1385,27010
457,Cadillac,ATS Coupe,2015,flex-fuel (unleaded/E85),321,6,AUTOMATIC,rear wheel drive,2,"Flex Fuel,Luxury,High-Performance",Compact,Coupe,28,18,1624,50325
458,Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,22,17,1385,39965
459,GMC,Sierra 1500 Hybrid,2011,regular unleaded,332,8,AUTOMATIC,four wheel drive,4,Hybrid,Large,Crew Cab Pickup,23,20,549,48575
460,Volvo,960,1995,regular unleaded,181,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,23,15,870,2000
461,Nissan,200SX,1998,regular unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,28,20,2009,2073
462,Mazda,B-Series Pickup,1999,flex-fuel (unleaded/E85),150,6,MANUAL,four wheel drive,2,Flex Fuel,Compact,Extended Cab Pickup,20,16,586,3214
465,GMC,Sonoma,2003,flex-fuel (unleaded/E85),120,4,MANUAL,rear wheel drive,2,Flex Fuel,Compact,Regular Cab Pickup,25,19,549,14770
466,Nissan,Titan,2014,regular unleaded,317,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,17,12,2009,37320
467,BMW,4 Series Gran Coupe,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,23,3916,41950
468,Mitsubishi,Eclipse,2012,regular unleaded,162,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,436,24699
469,GMC,Sierra 1500 Classic,2007,flex-fuel (unleaded/E85),295,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,17,13,549,27060
470,Chevrolet,Silverado 1500 Classic,2007,regular unleaded,195,6,MANUAL,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,19,14,1385,19620
471,Volkswagen,Touareg,2016,premium unleaded (recommended),280,6,AUTOMATIC,all wheel drive,4,"Crossover,Performance",Midsize,4dr SUV,23,17,873,51450
472,Dodge,Ram Pickup 1500,2008,regular unleaded,215,6,MANUAL,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,19,16,1851,22435
474,Porsche,Cayenne,2016,premium unleaded (required),570,8,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,High-Performance",Midsize,4dr SUV,21,14,1715,157300
475,Ford,Focus,2017,flex-fuel (unleaded/E85),160,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Flex Fuel",Compact,4dr Hatchback,40,27,5657,21675
476,Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19,1013,42690
478,Subaru,B9 Tribeca,2006,premium unleaded (required),250,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,21,16,640,30695
480,Hyundai,Elantra Touring,2012,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,30,23,1439,17195
481,Audi,S4,2014,premium unleaded (required),333,6,MANUAL,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,26,17,3105,54000
482,Mercedes-Benz,C36 AMG,1997,regular unleaded,276,6,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,Performance",Compact,Sedan,22,16,617,4330
483,Audi,Cabriolet,1996,regular unleaded,172,6,AUTOMATIC,front wheel drive,2,Luxury,Compact,Convertible,22,17,3105,2631
484,Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,AUTOMATIC,front wheel drive,4,"Flex Fuel,Luxury",Compact,Wagon,28,18,376,31180
485,Volkswagen,New Beetle,2010,regular unleaded,150,5,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,29,20,873,20390
